,Time,Main Contract,Sub-main Contract,Price Gap,MA20,SD,SDx2,SDx-2
0,0,3000.0,2958.0,42.0,,,,
1,1,3020.7,2966.33,54.36999999999989,,,,
2,2,3028.25,2964.66,63.590000000000146,,,,
3,3,3041.27,2895.29,145.98000000000002,,,,
4,4,3053.13,2973.75,79.38000000000011,,,,
5,5,3056.79,2943.69,113.09999999999991,,,,
6,6,3079.1,2995.96,83.13999999999987,,,,
7,7,3072.63,2931.29,141.34000000000015,,,,
8,8,3062.49,3007.37,55.11999999999989,,,,
9,9,3055.45,2954.62,100.82999999999993,,,,
10,10,3050.26,3004.51,45.75,,,,
11,11,3078.02,2954.9,123.11999999999989,,,,
12,12,3061.71,2945.37,116.34000000000015,,,,
13,13,3051.3,3017.74,33.5600000000004,,,,
14,14,3029.03,2992.68,36.350000000000364,,,,
15,15,3045.08,2990.27,54.809999999999945,,,,
16,16,3056.35,2927.98,128.3699999999999,,,,
17,17,3082.94,3039.78,43.159999999999854,,,,
18,18,3077.39,2963.53,113.85999999999967,,,,
19,19,3082.31,2934.36,147.94999999999982,86.106,40.006119847632725,166.11823969526546,6.093760304734545
20,20,3097.41,2985.9,111.50999999999976,89.58149999999998,38.97890445315794,167.53930890631585,11.623691093684101
21,21,3107.32,3038.96,68.36000000000013,90.28099999999999,38.43549701156874,167.1519940231375,13.410005976862507
22,22,3108.25,3002.57,105.67999999999984,92.38549999999998,38.047478991801455,168.4804579836029,16.29054201639707
23,23,3087.42,3056.55,30.86999999999989,86.62999999999997,38.219499845249764,163.06899969049948,10.191000309500438
24,24,3114.28,3070.68,43.600000000000364,84.84099999999998,39.39601982300661,163.6330396460132,6.048960353986757
25,25,3128.61,3091.07,37.539999999999964,81.06299999999999,40.159045005944385,161.38109001188877,0.7449099881112176
26,26,3157.71,3069.29,88.42000000000007,81.327,40.19076001429071,161.7085200285814,0.9454799714185782
27,27,3132.45,2978.96,153.48999999999978,81.93449999999999,41.22416504851686,164.38283009703372,-0.5138300970337326
28,28,3120.86,3045.96,74.90000000000009,82.92349999999999,40.78190275561467,164.48730551122932,1.359694488770657
29,29,3151.76,3085.57,66.19000000000005,81.19149999999999,40.71691686122858,162.62533372245716,-0.24233372245717533
30,30,3141.36,2987.43,153.9300000000003,86.60050000000001,42.888547664725905,172.37759532945182,0.8234046705482001
31,31,3149.21,3086.23,62.98000000000002,83.59350000000002,42.29752764642389,168.1885552928478,-1.0015552928477547
32,32,3123.07,3082.47,40.600000000000364,79.80650000000003,42.600850284941394,165.00820056988283,-5.3952005698827605
33,33,3114.64,3021.2,93.44000000000005,82.80050000000001,41.26274558752781,165.32599117505563,0.2750088249443934
34,34,3093.46,2988.28,105.17999999999984,86.24199999999999,40.03681458489496,166.31562916978993,6.1683708302100655
35,35,3109.86,3060.1,49.76000000000022,85.98949999999999,40.26077789336591,166.51105578673182,5.467944213268169
36,36,3108.62,3015.36,93.25999999999976,84.234,39.06323637116448,162.36047274232897,6.1075272576710375
37,37,3136.91,3030.26,106.64999999999964,87.40849999999998,38.117993302652295,163.64448660530456,11.172513394695386
38,38,3135.66,3091.76,43.899999999999636,83.91049999999998,38.767345520221085,161.44519104044215,6.375808959557816
39,39,3150.4,3014.93,135.47000000000025,83.2865,37.76992081914136,158.8263416382827,7.74665836171728
40,40,3163.0,3131.37,31.63000000000011,79.29250000000002,38.836742488335204,156.96598497667043,1.6190150233296094
41,41,3184.82,3082.91,101.91000000000031,80.97000000000003,39.063585412288475,159.09717082457698,2.842829175423077
42,42,3158.39,3088.91,69.48000000000002,79.16000000000004,38.695317546183794,156.55063509236763,1.7693649076324505
43,43,3176.08,3125.26,50.81999999999971,80.15750000000003,37.62736670297298,155.41223340594598,4.9027665940540714
44,44,3154.17,3050.08,104.09000000000015,83.18200000000002,36.959378497850444,157.10075699570092,9.263243004299127
45,45,3124.84,3065.47,59.370000000000346,84.27350000000004,35.846095915293496,155.96569183058705,12.581308169413049
46,46,3135.78,3026.03,109.75,85.34000000000003,36.29050869101495,157.92101738202993,12.758982617970133
47,47,3108.81,2959.59,149.2199999999998,85.12650000000004,35.87869889605369,156.8838977921074,13.369102207892652
48,48,3126.22,3076.2,50.01999999999998,83.88250000000002,36.67443823341869,157.2313764668374,10.53362353316264
49,49,3119.65,3044.78,74.86999999999989,84.31650000000002,36.50501584497815,157.3265316899563,11.306468310043712
50,50,3090.64,2954.65,135.98999999999978,83.4195,34.88909231973131,153.19768463946264,13.641315360537376
51,51,3086.93,3003.58,83.34999999999991,84.43799999999999,34.5567506696174,153.5515013392348,15.324498660765187
52,52,3084.46,2942.57,141.88999999999987,89.50249999999997,35.21003907006904,159.92257814013806,19.082421859861896
53,53,3084.77,2986.06,98.71000000000004,89.76599999999996,35.260739819685824,160.2874796393716,19.244520360628314
54,54,3067.8,3030.99,36.8100000000004,86.3475,36.96093198799307,160.26936397598615,12.425636024013855
55,55,3050.31,3010.66,39.65000000000009,85.84199999999998,37.55206919801662,160.94613839603323,10.73786160396675
56,56,3065.56,2952.13,113.42999999999984,86.85049999999998,38.02957968891829,162.90965937783656,10.791340622163403
57,57,3088.25,2973.98,114.26999999999998,87.23150000000001,38.27575517835908,163.78301035671817,10.679989643281857
58,58,3064.78,2994.29,70.49000000000024,88.56100000000004,37.13626598863896,162.83353197727797,14.288468022722114
59,59,3093.59,2997.69,95.90000000000009,86.58250000000002,35.524683912812755,157.63186782562553,15.533132174374515
60,60,3082.76,2953.28,129.48000000000002,91.47500000000002,34.27424021193261,160.02348042386524,22.926519576134808
61,61,3092.32,2999.55,92.76999999999998,91.018,34.18860853682415,159.3952170736483,22.640782926351704
62,62,3115.51,2997.12,118.39000000000033,93.46350000000002,34.31593895047354,162.09537790094708,24.83162209905295
63,63,3092.14,3017.93,74.21000000000004,94.63300000000004,33.165426052791055,160.96385210558213,28.302147894417928
64,64,3098.32,3017.76,80.55999999999995,93.45650000000003,33.229580714683685,159.9156614293674,26.997338570632664
65,65,3072.29,2989.34,82.94999999999982,94.63550000000001,32.36355316433979,159.3626063286796,29.908393671320425
